tbl,col,type,rows,non_null,null_pct
sys_content_documents,document_tenant_id,uuid,121,121,0.0
sys_content_documents,document_natural_key,character varying,121,121,0.0
sys_content_documents,document_category_id,uuid,121,0,100.0
sys_content_documents,document_title,character varying,121,121,0.0
sys_content_documents,document_slug,character varying,121,121,0.0
sys_content_documents,document_kind,character varying,121,121,0.0
sys_content_documents,document_status,character varying,121,121,0.0
sys_content_documents,document_body,text,121,121,0.0
sys_content_documents,document_body_format,character varying,121,121,0.0
sys_content_documents,document_current_version_id,uuid,121,121,0.0
sys_content_documents,document_author_user_id,uuid,121,121,0.0
sys_content_documents,document_published_at,timestamp with time zone,121,109,9.9
sys_content_documents,document_published_by_user_id,uuid,121,109,9.9
sys_content_documents,document_effective_date,date,121,0,100.0
sys_content_documents,document_expires_date,date,121,0,100.0
sys_content_documents,document_metadata,jsonb,121,121,0.0
sys_content_documents,created_at,timestamp with time zone,121,121,0.0
sys_content_documents,updated_at,timestamp with time zone,121,121,0.0
sys_content_documents,document_search_tsv,tsvector,121,121,0.0
sys_content_versions,version_id,uuid,132,132,0.0
sys_content_versions,version_tenant_id,uuid,132,132,0.0
sys_content_versions,version_document_id,uuid,132,132,0.0
sys_content_versions,version_number,integer,132,132,0.0
sys_content_versions,version_title,character varying,132,132,0.0
sys_content_versions,version_body,text,132,132,0.0
sys_content_versions,version_body_format,character varying,132,132,0.0
sys_content_versions,version_author_user_id,uuid,132,132,0.0
sys_content_versions,version_change_note,text,132,121,8.3
sys_content_versions,version_metadata,jsonb,132,132,0.0
sys_content_versions,created_at,timestamp with time zone,132,132,0.0
sys_continuous_feedback,feedback_id,uuid,474,474,0.0
sys_continuous_feedback,feedback_tenant_id,uuid,474,474,0.0
sys_continuous_feedback,feedback_natural_key,character varying,474,474,0.0
sys_continuous_feedback,feedback_from_user_id,uuid,474,473,0.2
sys_continuous_feedback,feedback_to_user_id,uuid,474,474,0.0
sys_continuous_feedback,feedback_related_goal_id,uuid,474,146,69.2
sys_continuous_feedback,feedback_type,character varying,474,474,0.0
sys_continuous_feedback,feedback_message,text,474,474,0.0
sys_continuous_feedback,feedback_category,character varying,474,0,100.0
sys_continuous_feedback,feedback_visibility,character varying,474,474,0.0
sys_continuous_feedback,feedback_is_private,boolean,474,474,0.0
sys_continuous_feedback,feedback_tags,ARRAY,474,0,100.0
sys_continuous_feedback,feedback_sentiment_score,numeric,474,8,98.3
sys_continuous_feedback,feedback_acknowledged,boolean,474,474,0.0
sys_continuous_feedback,feedback_acknowledged_at,timestamp with time zone,474,0,100.0
sys_continuous_feedback,feedback_metadata,jsonb,474,474,0.0
sys_continuous_feedback,created_at,timestamp with time zone,474,474,0.0
sys_critical_positions,critical_position_id,uuid,8,8,0.0
sys_critical_positions,critical_position_tenant_id,uuid,8,8,0.0
sys_critical_positions,critical_position_position_id,uuid,8,8,0.0
sys_critical_positions,critical_position_rationale,text,8,0,100.0
sys_critical_positions,critical_position_business_impact_score,numeric,8,0,100.0
sys_critical_positions,critical_position_flagged_at,timestamp with time zone,8,8,0.0
sys_critical_positions,critical_position_metadata,jsonb,8,8,0.0
sys_critical_positions,created_at,timestamp with time zone,8,8,0.0
sys_critical_positions,created_by,uuid,8,0,100.0
sys_critical_role_coverage_status,critical_role_coverage_status_id,uuid,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_status_tenant_id,uuid,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_status_position_id,uuid,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_ready_now_count,integer,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_ready_6mo_count,integer,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_ready_1y_count,integer,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_overall_score,numeric,8,3,62.5
sys_critical_role_coverage_status,critical_role_coverage_computed_at,timestamp with time zone,8,8,0.0
sys_critical_role_coverage_status,critical_role_coverage_payload,jsonb,8,8,0.0
sys_critical_role_coverage_status,created_at,timestamp with time zone,8,8,0.0
sys_employee_position_fit_scores,employee_position_fit_score_id,uuid,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_tenant_id,uuid,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_user_id,uuid,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_position_id,uuid,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_dimension,character varying,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_score,numeric,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_computed_at,timestamp with time zone,146,146,0.0
sys_employee_position_fit_scores,employee_position_fit_score_payload,jsonb,146,146,0.0
