entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:342,name,en,Sports and Fitness Workers,HARVEST
sys_occupation_classifications,ISCO_08:3421,name,en,Athletes and Sports Players,HARVEST
sys_occupation_classifications,ISCO_08:3422,name,en,"Sports Coaches, Instructors and Officials",HARVEST
sys_occupation_classifications,ISCO_08:3423,name,en,Fitness and Recreation Instructors and Programme Leaders,HARVEST
sys_occupation_classifications,ISCO_08:343,name,en,"Artistic, Cultural and Culinary Associate Professionals",HARVEST
sys_occupation_classifications,ISCO_08:3431,name,en,Photographers,HARVEST
sys_occupation_classifications,ISCO_08:3432,name,en,Interior Designers and Decorators,HARVEST
sys_occupation_classifications,ISCO_08:3433,name,en,"Gallery, Museum and Library Technicians",HARVEST
sys_occupation_classifications,ISCO_08:3434,name,en,Chefs,HARVEST
sys_occupation_classifications,ISCO_08:3435,name,en,Other Artistic and Cultural Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:35,name,en,Information and Communications Technicians,HARVEST
sys_occupation_classifications,ISCO_08:351,name,en,Information and Communications Technology Operations and User Support Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3511,name,en,Information and Communications Technology Operations Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3512,name,en,Information and Communications Technology User Support Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3513,name,en,Computer Network and Systems Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3514,name,en,Web Technicians,HARVEST
sys_occupation_classifications,ISCO_08:352,name,en,Telecommunications and Broadcasting Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3521,name,en,Broadcasting and Audio-visual Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3522,name,en,Telecommunications Engineering Technicians,HARVEST
sys_occupation_classifications,ISCO_08:4,name,en,Clerical Support Workers,HARVEST
sys_occupation_classifications,ISCO_08:41,name,en,General and Keyboard Clerks,HARVEST
sys_occupation_classifications,ISCO_08:411,name,en,General Office Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4110,name,en,General Office Clerks,HARVEST
sys_occupation_classifications,ISCO_08:412,name,en,Secretaries (general),HARVEST
sys_occupation_classifications,ISCO_08:4120,name,en,Secretaries (general),HARVEST
sys_occupation_classifications,ISCO_08:413,name,en,Keyboard Operators,HARVEST
sys_occupation_classifications,ISCO_08:4131,name,en,Typists and Word Processing Operators,HARVEST
sys_occupation_classifications,ISCO_08:4132,name,en,Data Entry Clerks,HARVEST
sys_occupation_classifications,ISCO_08:42,name,en,Customer Services Clerks,HARVEST
sys_occupation_classifications,ISCO_08:421,name,en,"Tellers, Money Collectors and Related Clerks",HARVEST
sys_occupation_classifications,ISCO_08:4211,name,en,Bank Tellers and Related Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4212,name,en,"Bookmakers, Croupiers and Related Gaming Workers",HARVEST
sys_occupation_classifications,ISCO_08:4213,name,en,Pawnbrokers and Money-lenders,HARVEST
