scheme,code,parent_code,level,name
ISCO_08,613,61,3,Agricoltori di colture miste e allevatori
ISCO_08,6130,613,4,Agricoltori di colture miste e allevatori
ISCO_08,62,6,2,"Lavoratori forestali specializzati, pescatori e cacciatori"
ISCO_08,621,62,3,Lavoratori forestali ed assimilati
ISCO_08,6210,621,4,Lavoratori forestali ed assimilati
ISCO_08,622,62,3,Pescatori e cacciatori
ISCO_08,6221,622,4,Lavoratori dell’acquacoltura
ISCO_08,6222,622,4,Pescatori della pesca costiera e in acque interne
ISCO_08,6223,622,4,Pescatori d’alto mare
ISCO_08,6224,622,4,Cacciatori
ISCO_08,63,6,2,"Lavoratori dell’agricoltura, della caccia, della pesca e del raccolto di sussistenza"
ISCO_08,631,63,3,Lavoratori dell’agricoltura di sussistenza
ISCO_08,6310,631,4,Lavoratori dell’agricoltura di sussistenza
ISCO_08,632,63,3,Lavoratori dell’allevamento di sussistenza
ISCO_08,6320,632,4,Lavoratori dell’allevamento di sussistenza
ISCO_08,633,63,3,Lavoratori delle colture miste e dell’allevamento di sussistenza
ISCO_08,6330,633,4,Lavoratori delle colture miste e dell’allevamento di sussistenza
ISCO_08,634,63,3,"Lavoratori della caccia, della pesca e del raccolto di sussistenza"
ISCO_08,6340,634,4,"Lavoratori della caccia, della pesca e del raccolto di sussistenza"
ISCO_08,7,,1,Artigiani e operai specializzati
ISCO_08,71,7,2,"Operai specializzati dell’edilizia ed assimilati, ad eccezione degli elettricisti"
ISCO_08,711,71,3,Operai addetti alla costruzione di strutture edili ed assimilati
ISCO_08,7111,711,4,Addetti alla costruzione di edifici
ISCO_08,7112,711,4,Muratori in mattoni ed assimilati
ISCO_08,7113,711,4,"Muratori in pietrame, tagliatori di pietre e cesellatori"
ISCO_08,7114,711,4,"Muratori in cemento armato, rifinitori ed assimilati"
ISCO_08,7115,711,4,Carpentieri e falegnami edili
ISCO_08,7119,711,4,Operai addetti alla costruzione di strutture edili ed assimilati non classificati altrove
ISCO_08,712,71,3,Operai specializzati addetti alle rifiniture delle costruzioni ed assimilati
ISCO_08,7121,712,4,Copritetti
ISCO_08,7122,712,4,Pavimentatori e posatori di rivestimenti
ISCO_08,7123,712,4,Intonacatori
ISCO_08,7124,712,4,Installatori di impianti di isolamento
ISCO_08,7125,712,4,Vetrai
ISCO_08,7126,712,4,Idraulici e posatori di tubazioni
ISCO_08,7127,712,4,Installatori di impianti di aria condizionata e di raffreddamento
ISCO_08,713,71,3,Operai specializzati addetti alla pitturazione ed alla pulizia degli esterni degli edifici ed assimilati
ISCO_08,7131,713,4,Imbianchini ed assimilati
ISCO_08,7132,713,4,Laccatori e verniciatori
ISCO_08,7133,713,4,Pulitori di facciate e di esterni
ISCO_08,72,7,2,Operai metalmeccanici specializzati ed assimilati
ISCO_08,721,72,3,"Lattonieri, carpentieri, fonditori, saldatori ed assimilati"
ISCO_08,7211,721,4,Fonditori e animisti di fonderia
ISCO_08,7212,721,4,Saldatori e tagliatori a fiamma
ISCO_08,7213,721,4,Lattonieri e calderai
ISCO_08,7214,721,4,Carpentieri e montatori di carpenteria metallica
